,SEASON,TEMP PLAYER ID,PLAYER ID,PLAYER NAME,POSITION,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,LANE AGILITY TIME,MODIFIED LANE AGILITY TIME,THREE QUARTER SPRINT,BENCH PRESS
0,2000-01,,12137,A.J. Granger,SF,30.0,34.0,10.73,,3.25,20.0
1,2000-01,,2062,A.J. Guyton,PG-SG,33.0,37.5,10.55,,3.22,9.0
2,2000-01,,2637,Alex Scales,SG-PG,38.5,42.5,10.98,,3.21,10.0
3,2000-01,,2238,Antonis Fotsis,SF,27.0,30.0,11.6,,3.44,2.0
4,2000-01,,12021,Aubrey Reese,PG,31.5,37.5,11.13,,3.25,14.0
5,2000-01,,12028,Bootsy Thornton,SG,26.5,31.0,12.08,,3.33,7.0
6,2000-01,,12144,Brandon Kurtz,PF-C,,,,,,7.0
7,2000-01,,12145,Brian Montonati,PF,25.0,29.0,11.85,,3.53,5.0
8,2000-01,,12017,Caswell Cyrus,PF,33.5,37.5,12.12,,3.16,18.0
9,2000-01,,12135,Ceedric Goodwyn,SF-PF,,,,,,
10,2000-01,,2084,Chris Porter,SF-PF,28.5,35.0,10.93,,3.2,6.0
11,2000-01,,2083,Cory Hightower,SG-SF,29.5,34.5,11.92,,3.37,0.0
12,2000-01,,12149,Damon Reed,PF-C,27.5,31.5,11.21,,3.31,4.0
13,2000-01,,2061,Dan Langhi,SF,31.0,34.5,10.85,,3.24,12.0
14,2000-01,,2082,Dan McClintock,C-PF,33.0,35.0,11.52,,3.33,20.0
15,2000-01,,2051,Donnell Harvey,PF,33.0,32.5,11.23,,,15.0
16,2000-01,,12133,Ed Cota,PG,26.5,33.5,10.98,,3.24,1.0
17,2000-01,,2109,Eddie Gill,PG,35.0,38.5,11.12,,3.18,13.0
18,2000-01,,2067,Eddie House,SG-PG,29.5,38.5,11.12,,3.27,5.0
19,2000-01,,2059,Eduardo Najera,PF-SF,28.0,35.0,11.38,,3.45,15.0
20,2000-01,,12132,Eric Coley,SG-SF,35.0,38.0,11.4,,3.15,10.0
