,SEASON,TEMP PLAYER ID,PLAYER ID,PLAYER NAME,POSITION,HEIGHT WO SHOES,HEIGHT WO SHOES FT IN,HEIGHT W SHOES,HEIGHT W SHOES FT IN,WEIGHT,WINGSPAN,WINGSPAN FT IN,STANDING REACH,STANDING REACH FT IN,BODY FAT PCT,HAND LENGTH,HAND WIDTH
0,2000-01,,12137,A.J. Granger,SF,79.5,6' 7.5'',,,227,81.5,6' 9.5'',103.0,8' 7'',,,
1,2000-01,,2062,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175,75.75,6' 3.75'',97.5,8' 1.5'',,,
2,2000-01,,2637,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,
3,2000-01,,2238,Antonis Fotsis,SF,81.25,6' 9.25'',,,219,80.5,6' 8.5'',106.0,8' 10'',,,
4,2000-01,,12021,Aubrey Reese,PG,70.75,5' 10.75'',,,189,77.5,6' 5.5'',94.5,7' 10.5'',,,
5,2000-01,,12028,Bootsy Thornton,SG,75.5,6' 3.5'',,,194.5,78.5,6' 6.5'',101.5,8' 5.5'',,,
6,2000-01,,12144,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257,83.25,6' 11.25'',106.5,8' 10.5'',,,
7,2000-01,,12145,Brian Montonati,PF,80.75,6' 8.75'',,,215,82.5,6' 10.5'',106.0,8' 10'',,,
8,2000-01,,12017,Caswell Cyrus,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,
9,2000-01,,12135,Ceedric Goodwyn,SF-PF,78.0,6' 6'',,,238,82.0,6' 10'',104.5,8' 8.5'',,,
10,2000-01,,2084,Chris Porter,SF-PF,77.5,6' 5.5'',,,214,81.5,6' 9.5'',103.5,8' 7.5'',,,
11,2000-01,,2083,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183,83.0,6' 11'',101.5,8' 5.5'',,,
12,2000-01,,12149,Damon Reed,PF-C,80.5,6' 8.5'',,,228,81.5,6' 9.5'',104.5,8' 8.5'',,,
13,2000-01,,2061,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,
14,2000-01,,2082,Dan McClintock,C-PF,83.0,6' 11'',,,250,85.5,7' 1.5'',107.0,8' 11'',,,
15,2000-01,,2051,Donnell Harvey,PF,79.25,6' 7.25'',,,220,84.5,7' 0.5'',105.5,8' 9.5'',,,
16,2000-01,,12133,Ed Cota,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,
17,2000-01,,2109,Eddie Gill,PG,71.75,5' 11.75'',,,176,76.0,6' 4'',93.0,7' 9'',,,
18,2000-01,,2067,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,
19,2000-01,,2059,Eduardo Najera,PF-SF,78.5,6' 6.5'',,,234.5,83.5,6' 11.5'',104.5,8' 8.5'',,,
20,2000-01,,12132,Eric Coley,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,
21,2000-01,,2081,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,
22,2000-01,,2508,Gabe Muoneke,PF-SF,78.25,6' 6.25'',,,244,84.5,7' 0.5'',105.0,8' 9'',,,
23,2000-01,,12019,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,
24,2000-01,,2080,Igor Rakocevic,PG,74.5,6' 2.5'',,,184,77.25,6' 5.25'',100.0,8' 4'',,,
25,2000-01,,2074,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,
26,2000-01,,12141,Jacob Jaacks,PF,81.25,6' 9.25'',,,238,83.0,6' 11'',105.5,8' 9.5'',,,
27,2000-01,,2037,Jamal Crawford,PG-SG,76.5,6' 4.5'',,,175,82.0,6' 10'',102.5,8' 6.5'',,,
28,2000-01,,12030,Jameel Watkins,PF-C,81.5,6' 9.5'',,,244.5,90.0,7' 6'',110.0,9' 2'',,,
29,2000-01,,12029,Jaquay Walls,PG,73.25,6' 1.25'',,,165.5,74.5,6' 2.5'',96.5,8' 0.5'',,,
30,2000-01,,12027,Jarrett Stephens,PF,77.25,6' 5.25'',,,258,81.25,6' 9.25'',103.0,8' 7'',,,
31,2000-01,,2078,Jason Hart,PG,73.75,6' 1.75'',,,181,78.0,6' 6'',97.5,8' 1.5'',,,
32,2000-01,,2111,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170,80.0,6' 8'',100.0,8' 4'',,,
33,2000-01,,12138,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200,80.0,6' 8'',100.5,8' 4.5'',,,
34,2000-01,,12022,Julius Doc Robinson,PG,72.0,6' 0'',,,184,75.75,6' 3.75'',95.5,7' 11.5'',,,
35,2000-01,,2090,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,
36,2000-01,,12025,Karim Shabazz,C,83.5,6' 11.5'',,,224,87.0,7' 3'',111.5,9' 3.5'',,,
37,2000-01,,12143,Kenyon Jones,PF-C,81.0,6' 9'',,,282,85.0,7' 1'',108.0,9' 0'',,,
38,2000-01,,2064,Khalid El-Amin,PG,69.0,5' 9'',,,200,73.5,6' 1.5'',93.0,7' 9'',,,
39,2000-01,,12020,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,
40,2000-01,,2068,Lavor Postell,SG,76.5,6' 4.5'',,,205,80.5,6' 8.5'',101.5,8' 5.5'',,,
41,2000-01,,2124,Malik Allen,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,
42,2000-01,,12136,Marcus Goree,SF-PF,79.5,6' 7.5'',,,239,84.5,7' 0.5'',105.5,8' 9.5'',,,
43,2000-01,,12131,Mario Bland,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,
44,2000-01,,2077,Mark Karcher,SG,76.0,6' 4'',,,218,80.0,6' 8'',102.5,8' 6.5'',,,
45,2000-01,,2058,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,
46,2000-01,,2060,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210,81.0,6' 9'',104.0,8' 8'',,,
47,2000-01,,12024,Matt Santangelo,PG,72.0,6' 0'',,,177,75.0,6' 3'',94.0,7' 10'',,,
48,2000-01,,12147,Matthew Nielsen,PF,81.0,6' 9'',,,223,82.5,6' 10.5'',106.0,8' 10'',,,
49,2000-01,,12139,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195,78.25,6' 6.25'',98.5,8' 2.5'',,,
50,2000-01,,2072,Michael Redd,SG-SF,76.75,6' 4.75'',,,214,81.0,6' 9'',102.0,8' 6'',,,
51,2000-01,,2065,Mike Smith,SF,78.5,6' 6.5'',,,198,80.5,6' 8.5'',103.0,8' 7'',,,
52,2000-01,,12142,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,
53,2000-01,,12146,Ndongo N'diaye,C,83.5,6' 11.5'',,,208,87.5,7' 3.5'',112.5,9' 4.5'',,,
54,2000-01,,12026,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273,83.0,6' 11'',107.5,8' 11.5'',,,
55,2000-01,,12023,Pepe Sanchez,PG,75.0,6' 3'',,,194,75.5,6' 3.5'',96.0,8' 0'',,,
56,2000-01,,2087,Pete Mickeal,SG-SF,77.0,6' 5'',,,222,81.5,6' 9.5'',103.5,8' 7.5'',,,
57,2000-01,,2056,Primoz Brezec,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,
58,2000-01,,12148,Reed Rawlings,SG-SF,78.25,6' 6.25'',,,218,81.25,6' 9.25'',104.0,8' 8'',,,
59,2000-01,,2110,Ron Hale,SG-SF,79.5,6' 7.5'',,,202,83.0,6' 11'',104.5,8' 8.5'',,,
60,2000-01,,12134,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,
61,2000-01,,12140,Shaheen Holloway,PG,69.5,5' 9.5'',,,174,70.0,5' 10'',91.0,7' 7'',,,
62,2000-01,,2049,Speedy Claxton,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,
