,SEASON,PLAYER ID,PLAYER NAME,TEAM ID,TEAM ABBREVIATION,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
0,2000-01,673,Alan Henderson,1610612737,ATL,28.0,205.74,106.59433371737532,Indiana,USA,1995,1,16
1,2000-01,1950,Andy Panko,1610612737,ATL,23.0,205.74,111.13026281173174,Lebanon Valley,USA,Undrafted,Undrafted,Undrafted
2,2000-01,1510,Brevin Knight,1610612737,ATL,25.0,177.8,77.11079460405875,Stanford,USA,1997,1,16
3,2000-01,1898,Cal Bowdler,1610612737,ATL,24.0,208.28,111.13026281173174,Old Dominion,USA,1999,1,17
4,2000-01,1544,Chris Crawford,1610612737,ATL,26.0,205.74,106.59433371737532,Marquette,USA,1997,2,50
5,2000-01,2035,DerMarr Johnson,1610612737,ATL,21.0,205.74,91.17217479656358,Cincinnati,USA,2000,1,6
6,2000-01,1901,Dion Glover,1610612737,ATL,22.0,195.58,103.41918335132586,Georgia Tech,USA,1999,1,20
7,2000-01,2069,Hanno Mottola,1610612737,ATL,24.0,210.82,112.03744863060302,Utah,Finland,2000,2,40
8,2000-01,1085,Ira Bowman,1610612737,ATL,28.0,,,Pennsylvania,USA,Undrafted,Undrafted,Undrafted
9,2000-01,1891,Jason Terry,1610612737,ATL,23.0,187.96,78.01798042293004,Arizona,USA,1999,1,10
10,2000-01,1683,Larry Robinson,1610612737,ATL,33.0,,,Centenary-Louisiana,USA,Undrafted,Undrafted,Undrafted
11,2000-01,953,Lorenzen Wright,1610612737,ATL,25.0,210.82,108.86229826455354,Memphis,USA,1996,1,7
12,2000-01,1074,Matt Maloney,1610612737,ATL,29.0,190.5,90.71858188712795,Pennsylvania,USA,Undrafted,Undrafted,Undrafted
13,2000-01,1737,Nazr Mohammed,1610612737,ATL,23.0,208.28,108.86229826455354,Kentucky,USA,1998,1,29
14,2000-01,389,Toni Kukoc,1610612737,ATL,32.0,210.82,106.59433371737532,None,Croatia,1990,2,29
15,2000-01,380,Tony Smith,1610612737,ATL,33.0,,,Marquette,USA,1990,2,51
16,2000-01,1559,Adrian Griffin,1610612738,BOS,26.0,195.58,97.52247552866254,Seton Hall,USA,Undrafted,Undrafted,Undrafted
17,2000-01,952,Antoine Walker,1610612738,BOS,24.0,205.74,111.13026281173174,Kentucky,USA,1996,1,6
18,2000-01,179,Bryant Stith,1610612738,BOS,30.0,195.58,95.25451098148434,Virginia,USA,1992,1,13
19,2000-01,713,Chris Carr,1610612738,BOS,27.0,198.12,99.79044007584076,Southern Illinois,USA,1995,2,56
20,2000-01,1914,Chris Herren,1610612738,BOS,25.0,187.96,86.18265279277155,Fresno State,USA,1999,2,33
21,2000-01,677,Eric Williams,1610612738,BOS,28.0,203.2,99.79044007584076,Providence,USA,1995,1,14
22,2000-01,2040,Jerome Moiso,1610612738,BOS,23.0,208.28,105.23355498906842,UCLA,France,2000,1,11
23,2000-01,72,Kenny Anderson,1610612738,BOS,30.0,185.42,76.20360878518747,Georgia Tech,USA,1991,1,2
24,2000-01,1548,Mark Blount,1610612738,BOS,25.0,213.36,104.32636917019714,Pittsburgh,USA,1997,2,54
25,2000-01,1960,Milt Palacio,1610612738,BOS,23.0,190.5,88.45061733994974,Colorado State,Belize,Undrafted,Undrafted,Undrafted
26,2000-01,1718,Paul Pierce,1610612738,BOS,23.0,198.12,104.32636917019714,Kansas,USA,1998,1,10
27,2000-01,753,Randy Brown,1610612738,BOS,33.0,187.96,86.18265279277155,New Mexico State,USA,1991,2,31
28,2000-01,1499,Tony Battie,1610612738,BOS,25.0,210.82,108.86229826455354,Texas Tech,USA,1997,1,5
29,2000-01,958,Vitaly Potapenko,1610612738,BOS,26.0,208.28,129.27397918915733,Wright State,Ukraine,1996,1,12
30,2000-01,962,Walter McCarty,1610612738,BOS,27.0,208.28,104.32636917019714,Kentucky,USA,1996,1,19
