,SEASON,TEAM ID,TEAM,PLAYER ID,PLAYER,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL
0,2001-02,1610612737,Atlanta Hawks,2035,DerMarr Johnson,G-F,205.74,91.17217479656358,"MAY 05, 1980",22.0,1,Cincinnati
1,2001-02,1610612737,Atlanta Hawks,1737,Nazr Mohammed,C,208.28,113.39822735890993,"SEP 05, 1977",24.0,3,Kentucky
2,2001-02,1610612737,Atlanta Hawks,949,Shareef Abdur-Rahim,F,205.74,104.32636917019714,"DEC 11, 1976",25.0,5,California
3,2001-02,1610612737,Atlanta Hawks,1901,Dion Glover,F-G,195.58,103.41918335132586,"OCT 22, 1978",23.0,2,Georgia Tech
4,2001-02,1610612737,Atlanta Hawks,1898,Cal Bowdler,F,208.28,114.75900608721686,"MAR 31, 1977",25.0,2,Old Dominion
5,2001-02,1610612737,Atlanta Hawks,389,Toni Kukoc,F,210.82,106.59433371737533,"SEP 18, 1968",33.0,8,Benetton Treviso
6,2001-02,1610612737,Atlanta Hawks,1521,Jacque Vaughn,G,185.42000000000002,86.18265279277155,"FEB 11, 1975",27.0,4,Kansas
7,2001-02,1610612737,Atlanta Hawks,2069,Hanno Mottola,C-F,210.82,112.03744863060302,"SEP 09, 1976",25.0,1,Utah
8,2001-02,1610612737,Atlanta Hawks,1956,Ira Newble,F,200.66,97.52247552866254,"JAN 20, 1975",27.0,1,Miami (Ohio)
9,2001-02,1610612737,Atlanta Hawks,1110,Mark Strickland,F,208.28,99.79044007584075,"JUL 14, 1970",31.0,6,Temple
10,2001-02,1610612737,Atlanta Hawks,1891,Jason Terry,G,187.96,79.83235206067259,"SEP 15, 1977",24.0,2,Arizona
11,2001-02,1610612737,Atlanta Hawks,1910,Leon Smith,F,208.28,106.59433371737533,"NOV 02, 1980",21.0,R,Martin Luther King HS (IL)
12,2001-02,1610612737,Atlanta Hawks,673,Alan Henderson,F-C,205.74,108.86229826455354,"DEC 02, 1972",29.0,6,Indiana
13,2001-02,1610612738,Boston Celtics,962,Walter McCarty,F,208.28,104.32636917019714,"FEB 01, 1974",28.0,5,Kentucky
14,2001-02,1610612738,Boston Celtics,1499,Tony Battie,C-F,210.82,108.86229826455354,"FEB 11, 1976",26.0,4,Texas Tech
15,2001-02,1610612738,Boston Celtics,72,Kenny Anderson,G,185.42000000000002,76.20360878518747,"OCT 09, 1970",31.0,10,Georgia Tech
16,2001-02,1610612738,Boston Celtics,952,Antoine Walker,F,205.74,111.13026281173174,"AUG 12, 1976",25.0,5,Kentucky
17,2001-02,1610612738,Boston Celtics,2241,Omar Cook,G,185.42000000000002,86.18265279277155,"JAN 28, 1982",20.0,R,St. John's
18,2001-02,1610612738,Boston Celtics,1065,Erick Strickland,G,190.5,98.88325425696947,"NOV 25, 1973",28.0,5,Nebraska
19,2001-02,1610612738,Boston Celtics,960,Tony Delk,G,187.96,85.7290598833359,"JAN 28, 1974",28.0,5,Kentucky
20,2001-02,1610612738,Boston Celtics,1548,Mark Blount,C,213.36,113.39822735890993,"NOV 30, 1975",26.0,1,Pittsburgh
21,2001-02,1610612738,Boston Celtics,1718,Paul Pierce,F-G,198.12,104.32636917019714,"OCT 13, 1977",24.0,3,Kansas
22,2001-02,1610612738,Boston Celtics,2208,Kedrick Brown,G-F,200.66,100.69762589471202,"MAR 18, 1981",21.0,R,Northwest Florida State
23,2001-02,1610612738,Boston Celtics,958,Vitaly Potapenko,C-F,208.28,129.27397918915733,"MAR 21, 1975",27.0,5,Wright State
24,2001-02,1610612738,Boston Celtics,915,Rodney Rogers,F,200.66,115.66619190608813,"JUN 20, 1971",31.0,8,Wake Forest
25,2001-02,1610612738,Boston Celtics,677,Eric Williams,G-F,203.2,99.79044007584075,"JUL 17, 1972",29.0,6,Providence
