,SEASON,PLAYER ID,PLAYER NAME,TEAM ID,TEAM ABBREVIATION,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,TEAM,POSITION,BIRTH DATE,EXP,SCHOOL
0,2000-01,673,Alan Henderson,1610612737,ATL,28.0,205.74,106.59433371737532,Indiana,USA,1995,1,16,Atlanta Hawks,F-C,"DEC 02, 1972",5,Indiana
1,2000-01,1510,Brevin Knight,1610612737,ATL,25.0,177.8,77.11079460405875,Stanford,USA,1997,1,16,Atlanta Hawks,G,"NOV 08, 1975",3,Stanford
2,2000-01,1898,Cal Bowdler,1610612737,ATL,24.0,208.28,111.13026281173174,Old Dominion,USA,1999,1,17,Atlanta Hawks,F,"MAR 31, 1977",1,Old Dominion
3,2000-01,1544,Chris Crawford,1610612737,ATL,26.0,205.74,106.59433371737532,Marquette,USA,1997,2,50,Atlanta Hawks,F,"MAY 13, 1975",3,Marquette
4,2000-01,2035,DerMarr Johnson,1610612737,ATL,21.0,205.74,91.17217479656358,Cincinnati,USA,2000,1,6,Atlanta Hawks,F,"MAY 05, 1980",R,Cincinnati
5,2000-01,1901,Dion Glover,1610612737,ATL,22.0,195.58,103.41918335132586,Georgia Tech,USA,1999,1,20,Atlanta Hawks,G,"OCT 22, 1978",1,Georgia Tech
6,2000-01,2069,Hanno Mottola,1610612737,ATL,24.0,210.82,112.03744863060302,Utah,Finland,2000,2,40,Atlanta Hawks,F,"SEP 09, 1976",R,Utah
7,2000-01,1891,Jason Terry,1610612737,ATL,23.0,187.96,78.01798042293004,Arizona,USA,1999,1,10,Atlanta Hawks,G,"SEP 15, 1977",1,Arizona
8,2000-01,953,Lorenzen Wright,1610612737,ATL,25.0,210.82,108.86229826455354,Memphis,USA,1996,1,7,Atlanta Hawks,F-C,"NOV 04, 1975",4,Memphis
9,2000-01,1074,Matt Maloney,1610612737,ATL,29.0,190.5,90.71858188712795,Pennsylvania,USA,Undrafted,Undrafted,Undrafted,Atlanta Hawks,G,"DEC 06, 1971",4,Pennsylvania
10,2000-01,1737,Nazr Mohammed,1610612737,ATL,23.0,208.28,108.86229826455354,Kentucky,USA,1998,1,29,Atlanta Hawks,C,"SEP 05, 1977",2,Kentucky
11,2000-01,389,Toni Kukoc,1610612737,ATL,32.0,210.82,106.59433371737532,None,Croatia,1990,2,29,Atlanta Hawks,F,"SEP 18, 1968",7,Benetton Treviso
12,2000-01,1559,Adrian Griffin,1610612738,BOS,26.0,195.58,97.52247552866254,Seton Hall,USA,Undrafted,Undrafted,Undrafted,Boston Celtics,G-F,"JUL 04, 1974",1,Seton Hall
13,2000-01,952,Antoine Walker,1610612738,BOS,24.0,205.74,111.13026281173174,Kentucky,USA,1996,1,6,Boston Celtics,F,"AUG 12, 1976",4,Kentucky
14,2000-01,179,Bryant Stith,1610612738,BOS,30.0,195.58,95.25451098148434,Virginia,USA,1992,1,13,Boston Celtics,G,"DEC 10, 1970",8,Virginia
15,2000-01,1914,Chris Herren,1610612738,BOS,25.0,187.96,86.18265279277155,Fresno State,USA,1999,2,33,Boston Celtics,G,"SEP 27, 1975",1,Fresno State
16,2000-01,677,Eric Williams,1610612738,BOS,28.0,203.2,99.79044007584076,Providence,USA,1995,1,14,Boston Celtics,F,"JUL 17, 1972",5,Providence
17,2000-01,2040,Jerome Moiso,1610612738,BOS,23.0,208.28,105.23355498906842,UCLA,France,2000,1,11,Boston Celtics,F,"JUN 15, 1978",R,UCLA
18,2000-01,1548,Mark Blount,1610612738,BOS,25.0,213.36,104.32636917019714,Pittsburgh,USA,1997,2,54,Boston Celtics,C,"NOV 30, 1975",R,Pittsburgh
19,2000-01,1960,Milt Palacio,1610612738,BOS,23.0,190.5,88.45061733994974,Colorado State,Belize,Undrafted,Undrafted,Undrafted,Boston Celtics,G,"FEB 07, 1978",1,Colorado State
20,2000-01,1718,Paul Pierce,1610612738,BOS,23.0,198.12,104.32636917019714,Kansas,USA,1998,1,10,Boston Celtics,F-G,"OCT 13, 1977",2,Kansas
21,2000-01,1499,Tony Battie,1610612738,BOS,25.0,210.82,108.86229826455354,Texas Tech,USA,1997,1,5,Boston Celtics,C-F,"FEB 11, 1976",3,Texas Tech
22,2000-01,958,Vitaly Potapenko,1610612738,BOS,26.0,208.28,129.27397918915733,Wright State,Ukraine,1996,1,12,Boston Celtics,C-F,"MAR 21, 1975",4,Wright State
23,2000-01,962,Walter McCarty,1610612738,BOS,27.0,208.28,104.32636917019714,Kentucky,USA,1996,1,19,Boston Celtics,F,"FEB 01, 1974",4,Kentucky
24,2000-01,1889,Andre Miller,1610612739,CLE,25.0,187.96,90.71858188712795,Utah,USA,1999,1,8,Cleveland Cavaliers,G,"MAR 19, 1976",1,Utah
25,2000-01,1533,Anthony Johnson,1610612739,CLE,26.0,190.5,86.18265279277155,College of Charleston,USA,1997,2,39,Cleveland Cavaliers,G,"OCT 02, 1974",3,College of Charleston
26,2000-01,423,Chris Gatling,1610612739,CLE,33.0,208.28,104.32636917019714,Old Dominion,USA,1991,1,16,Cleveland Cavaliers,C-F,"SEP 03, 1967",9,Old Dominion
27,2000-01,2036,Chris Mihm,1610612739,CLE,21.0,215.9,120.20212100044454,Texas-Austin,USA,2000,1,7,Cleveland Cavaliers,C,"JUL 16, 1979",R,Texas-Austin
28,2000-01,359,Chucky Brown,1610612739,CLE,33.0,203.2,99.79044007584076,North Carolina State,USA,1989,2,43,Cleveland Cavaliers,F,"FEB 29, 1968",11,North Carolina State
29,2000-01,221,Clar. Weatherspoon,1610612739,CLE,30.0,200.66,120.20212100044454,Southern Mississippi,USA,1992,1,9,Cleveland Cavaliers,F,"SEP 08, 1970",8,Southern Mississippi
30,2000-01,754,Jim Jackson,1610612739,CLE,30.0,198.12,99.79044007584076,Ohio State,USA,1992,1,4,Cleveland Cavaliers,G,"OCT 14, 1970",8,Ohio State
31,2000-01,441,Lamond Murray,1610612739,CLE,28.0,200.66,107.04792662681098,California,USA,1994,1,7,Cleveland Cavaliers,F,"APR 20, 1973",6,California
32,2000-01,1723,Matt Harpring,1610612739,CLE,25.0,200.66,104.77996207963278,Georgia Tech,USA,1998,1,15,Cleveland Cavaliers,G-F,"MAY 31, 1976",2,Georgia Tech
33,2000-01,1714,Robert Traylor,1610612739,CLE,24.0,203.2,131.0883508268999,Michigan,USA,1998,1,6,Cleveland Cavaliers,C-F,"FEB 01, 1977",2,Michigan
34,2000-01,1892,Trajan Langdon,1610612739,CLE,25.0,190.5,89.35780315882103,Duke,USA,1999,1,11,Cleveland Cavaliers,G,"MAY 13, 1976",1,Duke
35,2000-01,445,Wesley Person,1610612739,CLE,30.0,198.12,90.71858188712795,Auburn,USA,1994,1,23,Cleveland Cavaliers,F-G,"MAR 28, 1971",6,Auburn
36,2000-01,2062,A.J. Guyton,1610612741,CHI,23.0,185.42,81.64672369841516,Indiana,USA,2000,2,32,Chicago Bulls,G,"FEB 12, 1978",R,Indiana
37,2000-01,1802,Brad Miller,1610612741,CHI,25.0,213.36,118.38774936270195,Purdue,USA,Undrafted,Undrafted,Undrafted,Chicago Bulls,C,"APR 12, 1976",2,Purdue
38,2000-01,1736,Corey Benjamin,1610612741,CHI,23.0,198.12,92.98654643430616,Oregon State,USA,1998,1,28,Chicago Bulls,G,"FEB 24, 1978",2,Oregon State
39,2000-01,2053,Dalibor Bagaric,1610612741,CHI,20.0,215.9,125.6452359136722,None,Croatia,2000,1,24,Chicago Bulls,C,"JUL 02, 1980",R,Benston Zagreb
40,2000-01,1434,Dragan Tarlac,1610612741,CHI,28.0,210.82,122.47008554762272,None,Serbia,1995,2,31,Chicago Bulls,C-F,"MAY 09, 1973",R,Olympiacos
41,2000-01,1882,Elton Brand,1610612741,CHI,22.0,203.2,117.93415645326634,Duke,USA,1999,1,1,Chicago Bulls,F,"MAR 11, 1979",1,Duke
42,2000-01,697,Fred Hoiberg,1610612741,CHI,28.0,195.58,95.25451098148434,Iowa State,USA,1995,2,52,Chicago Bulls,G,"OCT 15, 1972",5,Iowa State
43,2000-01,2063,Jake Voskuhl,1610612741,CHI,23.0,210.82,111.13026281173174,Connecticut,USA,2000,2,33,Chicago Bulls,C,"NOV 01, 1977",R,Connecticut
44,2000-01,2033,Marcus Fizer,1610612741,CHI,22.0,205.74,118.8413422721376,Iowa State,USA,2000,1,4,Chicago Bulls,F,"AUG 10, 1978",R,Iowa State
45,2000-01,1897,Metta World Peace,1610612741,CHI,21.0,200.66,111.58385572116738,St. John's,USA,1999,1,16,Chicago Bulls,F,"NOV 13, 1979",1,St. John's
46,2000-01,1500,Ron Mercer,1610612741,CHI,25.0,200.66,95.25451098148434,Kentucky,USA,1997,1,6,Chicago Bulls,G-F,"MAY 18, 1976",3,Kentucky
47,2000-01,1864,Steve Goodrich,1610612741,CHI,25.0,208.28,99.79044007584076,Princeton,USA,Undrafted,Undrafted,Undrafted,Chicago Bulls,C,"MAR 18, 1976",R,Princeton
48,2000-01,1916,Calvin Booth,1610612742,DAL,25.0,210.82,109.31589117398916,Penn State,USA,1999,2,35,Dallas Mavericks,C,"MAY 07, 1976",1,Penn State
49,2000-01,1717,Dirk Nowitzki,1610612742,DAL,23.0,210.82,107.50151953624662,None,Germany,1998,1,9,Dallas Mavericks,F,"JUN 19, 1978",2,                                   
50,2000-01,2051,Donnell Harvey,1610612742,DAL,20.0,203.2,99.79044007584076,Florida,USA,2000,1,22,Dallas Mavericks,F,"AUG 26, 1980",R,Florida
51,2000-01,2059,Eduardo Najera,1610612742,DAL,24.0,203.2,106.1407408079397,Oklahoma,Mexico,2000,2,38,Dallas Mavericks,F,"JUL 11, 1976",R,Oklahoma
52,2000-01,1761,Greg Buckner,1610612742,DAL,24.0,193.04,95.25451098148434,Clemson,USA,1998,2,53,Dallas Mavericks,G,"SEP 16, 1976",1,Clemson
53,2000-01,458,Howard Eisley,1610612742,DAL,28.0,187.96,81.64672369841516,Boston College,USA,1994,2,30,Dallas Mavericks,G,"DEC 04, 1972",6,Boston College
54,2000-01,436,Juwan Howard,1610612742,DAL,28.0,205.74,113.39822735890992,Michigan,USA,1994,1,5,Dallas Mavericks,F,"FEB 07, 1973",6,Michigan
55,2000-01,95,Mark Bryant,1610612742,DAL,36.0,205.74,113.39822735890992,Seton Hall,USA,1988,1,21,Dallas Mavericks,F-C,"APR 25, 1965",12,Seton Hall
56,2000-01,714,Michael Finley,1610612742,DAL,28.0,200.66,97.52247552866254,Wisconsin,USA,1995,1,21,Dallas Mavericks,F-G,"MAR 06, 1973",5,Wisconsin
57,2000-01,762,Shawn Bradley,1610612742,DAL,29.0,228.6,120.20212100044454,Brigham Young,USA,1993,1,2,Dallas Mavericks,C,"MAR 22, 1972",7,Brigham Young
58,2000-01,959,Steve Nash,1610612742,DAL,27.0,190.5,88.45061733994974,Santa Clara,Canada,1996,1,15,Dallas Mavericks,G,"FEB 07, 1974",4,Santa Clara
59,2000-01,137,Vernon Maxwell,1610612742,DAL,35.0,193.04,86.18265279277155,Florida,USA,1988,2,47,Dallas Mavericks,G,"SEP 12, 1965",12,Florida
60,2000-01,1917,Wang Zhi-zhi,1610612742,DAL,23.0,215.9,99.79044007584076,None,China,1999,2,36,Dallas Mavericks,C,"JUL 08, 1977",R,Bayi
61,2000-01,924,Anthony Goldwire,1610612743,DEN,29.0,187.96,82.55390951728643,Houston,USA,1994,2,52,Denver Nuggets,G,"SEP 06, 1971",3,Houston
62,2000-01,686,Antonio McDyess,1610612743,DEN,26.0,205.74,111.13026281173174,Alabama,USA,1995,1,2,Denver Nuggets,F,"SEP 07, 1974",5,Alabama
63,2000-01,2082,Dan McClintock,1610612743,DEN,24.0,213.36,122.47008554762272,Northern Arizona,USA,2000,2,53,Denver Nuggets,C,"APR 19, 1977",R,Northern Arizona
64,2000-01,45,George McCloud,1610612743,DEN,34.0,203.2,102.05840462301894,Florida State,USA,1989,1,7,Denver Nuggets,F,"MAY 27, 1967",10,Florida State
65,2000-01,1899,James Posey,1610612743,DEN,24.0,203.2,97.52247552866254,Xavier,USA,1999,1,18,Denver Nuggets,F-G,"JAN 13, 1977",1,Xavier
66,2000-01,788,Kevin Willis,1610612743,DEN,38.0,213.36,111.13026281173174,Michigan State,USA,1984,1,11,Denver Nuggets,C-F,"SEP 06, 1962",15,Michigan State
67,2000-01,89,Nick Van Exel,1610612743,DEN,29.0,185.42,86.18265279277155,Cincinnati,USA,1993,2,37,Denver Nuggets,G,"NOV 27, 1971",7,Cincinnati
68,2000-01,1711,Raef LaFrentz,1610612743,DEN,25.0,210.82,108.86229826455354,Kansas,USA,1998,1,3,Denver Nuggets,C-F,"MAY 29, 1976",2,Kansas
69,2000-01,123,Robert Pack,1610612743,DEN,32.0,187.96,86.18265279277155,Southern California,USA,Undrafted,Undrafted,Undrafted,Denver Nuggets,G,"FEB 03, 1969",9,Southern California
70,2000-01,1763,Ryan Bowen,1610612743,DEN,25.0,200.66,99.79044007584076,Iowa,USA,1998,2,55,Denver Nuggets,F,"NOV 20, 1975",1,Iowa
71,2000-01,426,Terry Davis,1610612743,DEN,34.0,208.28,122.47008554762272,Virginia Union,USA,Undrafted,Undrafted,Undrafted,Denver Nuggets,C-F,"JUN 17, 1967",9,Virginia Union
72,2000-01,702,Voshon Lenard,1610612743,DEN,28.0,193.04,92.98654643430616,Minnesota,USA,1994,2,46,Denver Nuggets,G,"MAY 14, 1973",5,Minnesota
73,2000-01,228,Adam Keefe,1610612744,GSW,31.0,205.74,104.32636917019714,Stanford,USA,1992,1,10,Golden State Warriors,F,"FEB 22, 1970",8,Stanford
74,2000-01,1502,Adonal Foyle,1610612744,GSW,26.0,208.28,113.39822735890992,Colgate,St. Vincent & Grenadines,1997,1,8,Golden State Warriors,C,"MAR 09, 1975",3,Colgate
75,2000-01,1712,Antawn Jamison,1610612744,GSW,25.0,205.74,101.15121880414766,North Carolina,USA,1998,1,4,Golden State Warriors,F,"JUN 12, 1976",2,North Carolina
76,2000-01,682,Bob Sura,1610612744,GSW,28.0,195.58,90.71858188712795,Florida State,USA,1995,1,17,Golden State Warriors,G,"MAR 25, 1973",5,Florida State
77,2000-01,1612,Chris Garner,1610612744,GSW,26.0,177.8,70.7604938719598,Memphis,USA,Undrafted,Undrafted,Undrafted,Golden State Warriors,G,"FEB 23, 1975",1,Memphis
